MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,Total Bsmnt SF,Style
10468627,CLSD,10/21/2019,575000,2 Stories,1966,1509,Kaywood,25,60025,2800,11,2,1,No,4,0,Attached,2,,,Colonial
10682379,CLSD,9/23/2020,575000,2 Stories,1949,719,Beaver,25,60025,2700,9,3,0,No,3,0,Attached,2,,,
10384931,CLSD,9/12/2019,575000,1 Story,1955,2108,Prairie,25,60025,1820,7,3,0,Yes,3,1,Attached,1,,,Ranch
10377468,CLSD,7/19/2019,575000,2 Stories,1967,1224,Brook,25,60025,3666,10,3,1,Yes,4,0,Attached,2,,1215,
10656949,CLSD,7/30/2020,575000,2 Stories,1950,2247,Henley,25,60025,2580,9,2,1,No,4,0,Attached,2,,,Colonial
10518784,CLSD,1/30/2020,575000,2 Stories,1984,2416,Saranac,25,60026,6684,16,6,2,Yes,6,0,Attached,3,,,Colonial
10344479,CLSD,7/2/2019,577000,2 Stories,1926,34,Logan,25,60029,4969,14,3,0,Yes,5,0,Detached,2.5,,1300,
10645609,CLSD,4/8/2020,579000,2 Stories,1941,1955,Larkdale,25,60025,2110,11,2,0,No,3,0,Attached,1,,,Colonial
10654710,CLSD,4/3/2020,579500,2 Stories,1998,2720,Sunflower,25,60026,3662,13,3,1,Yes,3,1,Attached,2,,600,Colonial
10420908,CLSD,10/30/2019,580000,2 Stories,1998,2727,ASPEN,25,60025,2872,9,2,1,No,4,0,Attached,2,,,Colonial
10805916,CLSD,11/25/2020,580000,1.5 Story,2012,2934,Fairway,25,60025,2349,9,3,0,No,4,0,Detached,2.5,,,Tri-Level
10601668,CLSD,2/24/2020,580000,2 Stories,1990,3323,Springdale,25,60025,3540,9,2,1,No,5,0,Attached,2,,,Contemporary
10626416,CLSD,7/1/2020,580000,2 Stories,1980,3642,Westfield,25,60026,2652,9,2,1,No,4,0,Attached,2,,,Colonial
10277472,CLSD,5/22/2019,580000,2 Stories,1955,4722,Linden,25,60025,3463,9,4,0,No,4,0,Attached,2,,0,Cape Cod
10605182,CLSD,3/21/2020,580000,2 Stories,1968,2423,Happy Hollow,25,60026,2626,10,3,1,No,4,0,Attached,2,,,Colonial
10721172,CLSD,8/31/2020,580000,2 Stories,1958,13,Stacy,25,60025,3083,11,5,1,No,7,0,Detached,2.5,4,1541,
10750760,CLSD,8/7/2020,582000,1 Story,1958,1420,Canterbury,25,60025,1603,10,3,0,Yes,3,1,Attached,2,,,Ranch
10266548,CLSD,7/24/2019,585000,2 Stories,1987,3128,Barbara,25,60026,2672,11,2,1,No,5,0,Attached,2,,,Colonial
10835132,CLSD,9/22/2020,587000,1 Story,1956,633,Beaver,25,60025,1915,8,2,0,No,3,0,Attached,2,,1915,Ranch
10469268,CLSD,10/4/2019,588000,2 Stories,1984,3900,Rugen,25,60025,2950,8,2,1,No,4,0,Attached,2,,,Colonial
10736258,CLSD,11/20/2020,589000,2 Stories,1983,1025,Bette,25,60025,3580,9,2,1,Yes,5,0,Attached,2,,1600,Colonial
10443152,CLSD,8/12/2019,590000,Split Level,1958,1105,Arbor,25,60025,2100,10,2,1,Yes,3,0,Attached,2,,,Tri-Level
10741946,CLSD,7/20/2020,590000,1 Story,1950,650,Windsor,25,60025,1950,9,2,1,Yes,3,0,Attached,2,,,Ranch
10681309,CLSD,9/21/2020,590000,4+ Stories,1959,2913,Virginia,25,60025,3400,11,3,2,Yes,5,0,Attached,2,,,Quad Level
10607235,CLSD,2/14/2020,590000,2 Stories,1976,3623,Keenan,25,60026,2685,9,3,1,Yes,4,0,"Attached, Detached",4,,,
10421523,CLSD,4/29/2020,590000,2 Stories,2002,2548,Violet,25,60026,2030,9,3,1,Yes,3,1,Detached,2,,,Row House
10081638,CLSD,1/17/2019,592500,2 Stories,1963,1314,Elizabeth,25,60025,0,8,3,0,No,4,0,Attached,2,,,Bi-Level
10748694,CLSD,8/11/2020,595000,2 Stories,2000,805,Greenwood,25,60025,2802,9,3,1,Yes,4,0,Attached,2,,1800,Contemporary
10886739,CLSD,12/1/2020,595000,2 Stories,1952,720,Beaver,25,60025,2311,9,2,1,No,4,0,Attached,1,,,Cape Cod
10632031,CLSD,8/12/2020,595000,2 Stories,1966,1416,Royal Oak,25,60025,2654,10,2,1,No,4,0,Attached,2.5,,,Colonial
10674665,CLSD,3/27/2020,599000,2 Stories,1974,1204,Highland,25,60025,4194,11,3,1,Yes,4,1,Attached,2,,1222,
10905921,CLSD,12/7/2020,599000,2 Stories,1988,800,Huber,25,60025,3122,10,3,0,No,4,0,Attached,2.5,,400,
10746243,CLSD,7/24/2020,600000,3 Stories,1960,3027,Applegate,25,60025,0,8,3,0,Yes,4,0,Detached,2,,,Colonial
10269469,CLSD,6/14/2019,600000,2 Stories,1951,1733,Stevens,25,60025,0,10,3,0,Yes,4,0,Detached,2.5,,,Cape Cod
10640592,CLSD,10/9/2020,600000,2 Stories,1992,2122,Warwick,25,60026,3252,9,2,1,No,4,0,Attached,2,,,
10602725,CLSD,2/28/2020,600000,2 Stories,1942,39,Briar,25,60029,0,8,2,1,No,3,0,Attached,2,,,Colonial
10612842,CLSD,2/20/2020,601000,1 Story,1954,1010,Barton,25,60025,1771,7,2,0,Yes,3,0,Attached,2,,,American 4-Sq.
10659573,CLSD,4/30/2020,601000,2 Stories,1962,1302,Elizabeth,25,60025,2254,9,2,1,No,4,0,Attached,2.5,,,Colonial
10693303,CLSD,7/29/2020,603000,3 Stories,1944,2247,Glenview,25,60025,3207,11,2,1,No,5,0,Attached,2,,,Colonial
10634012,CLSD,4/30/2020,605000,Split Level,1961,1911,Linneman,25,60025,0,8,2,0,Yes,3,0,Detached,3,,,
10921533,CLSD,12/31/2020,605000,Split Level,1966,1409,Pleasant,25,60025,0,11,2,1,No,4,0,Attached,2.5,,,Tri-Level
10727131,CLSD,8/6/2020,605000,2 Stories,2001,3850,Linneman,25,60025,3331,10,2,1,No,4,0,Attached,2,,,
10656109,CLSD,10/19/2020,607000,2 Stories,1992,2114,Warwick,25,60026,3111,10,2,1,No,4,0,Attached,3,,,
10813862,CLSD,9/17/2020,610000,1 Story,1955,729,Surrey,25,60025,3115,9,2,0,No,3,1,Attached,2,,,Ranch
10553789,CLSD,12/19/2019,610000,3 Stories,1952,2245,Covert,25,60638,3779,12,4,0,No,4,0,Detached,3,6,367,Traditional
10362095,CLSD,7/19/2019,610000,2 Stories,2001,3215,Greenbriar,25,60025,3892,14,4,1,Yes,5,0,Attached,2,,,
10517100,CLSD,12/20/2019,610000,2 Stories,1973,3914,Miller,25,60026,2683,12,2,2,Yes,4,0,Attached,2,,,Colonial
