MLS #,YearClosed,SoldPr,SFH,Condo,Duplex,Townhouse,YearBuilt,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,AttachedGarage,GarageSpaces,ParkingSpaces,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Stat,recent,new
10573138,2019,152340.625,0,1,0,0,1968,0,,0,0,1,0,0,0,875,5,1,0,0,2,0,0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10851739,2020,148625.0,0,1,0,0,1978,0,,0,1,0,0,0,0,1000,4,1,0,0,1,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10764869,2020,148625.0,0,1,0,0,1982,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10858379,2020,148625.0,0,1,0,0,1982,0,,0,1,0,0,0,0,1000,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10484621,2020,148625.0,0,1,0,0,1973,0,,0,0,1,0,0,0,1200,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10711538,2020,150675.0,0,1,0,0,1975,0,,0,1,0,0,0,0,1100,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10817824,2020,151700.0,0,1,0,0,1980,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10616880,2020,151700.0,0,1,0,0,1979,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10254423,2019,155492.5,0,1,0,0,1972,0,,0,0,1,0,0,0,1300,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10513991,2019,156543.125,0,1,0,0,1980,0,,0,1,0,0,0,0,1050,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10268761,2019,157593.75,0,1,0,0,1979,0,,0,1,0,0,0,0,1350,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10384152,2019,157593.75,0,1,0,0,1979,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10156517,2019,157593.75,0,1,0,0,1974,0,,0,0,1,0,0,0,1380,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10476938,2020,153750.0,0,1,0,0,1996,0,,0,1,0,0,0,0,760,3,1,0,0,1,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10128200,2019,157593.75,0,1,0,0,1980,0,,0,1,0,0,0,0,1250,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10574647,2020,155800.0,0,1,0,0,1976,0,,0,1,0,0,0,0,1306,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10292872,2019,159695.0,0,1,0,0,1984,0,,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10388591,2019,160220.3125,0,1,0,0,1979,0,,0,1,0,0,0,0,1150,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10108712,2019,160745.625,0,1,0,0,1974,0,,0,0,1,0,0,0,1300,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10792021,2020,158875.0,0,1,0,0,1974,0,,0,0,1,0,0,0,1250,5,1,1,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10526042,2020,158875.0,0,1,0,0,1976,0,,0,1,0,0,0,0,900,5,1,1,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10739704,2020,158875.0,0,1,0,0,1975,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10367640,2019,164948.125,0,1,0,0,1977,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10475954,2019,167049.375,0,1,0,0,1979,0,,0,1,0,0,0,0,1300,6,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10311251,2019,167994.9375,0,1,0,0,1978,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10377824,2019,167994.9375,0,1,0,0,1975,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10551169,2019,168415.1875,0,1,0,0,1977,0,,0,1,0,0,0,0,890,5,1,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10146103,2019,169150.625,0,1,0,0,1983,0,,0,1,0,0,0,0,1117,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10159925,2019,169150.625,0,1,0,0,1977,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10836916,2020,165025.0,0,1,0,0,1977,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10378460,2019,170726.5625,0,1,0,0,1976,0,,0,1,0,0,0,0,1000,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10829652,2020,167587.5,0,1,0,0,1973,0,,0,0,1,0,0,0,1200,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10743987,2020,170662.49999999997,0,1,0,0,1974,0,,0,0,1,0,0,0,1152,5,1,1,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10295580,2019,175979.6875,0,1,0,0,1981,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10413352,2019,175979.6875,0,1,0,0,1979,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,46.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10508586,2019,177555.625,0,1,0,0,1980,0,,0,1,0,0,0,0,1150,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
