SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
247025,0,1,0,0,0,0,0,0,1,0,0,0,1400,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
253687.5,1,0,0,0,0,0,0,1,0,0,0,0,1221,7,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
382325,1,0,0,0,0,0,0,1,0,0,0,0,1611,8,1,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408975,0,1,0,0,0,0,0,1,0,0,0,0,2300,7,2,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371527.2656,1,0,0,0,0,0,0,1,0,0,0,0,3019,8,2,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106381.7173,0,1,0,0,0,0,0,1,0,0,0,0,582,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215250,0,1,0,0,0,0,0,1,0,0,0,0,1450,5,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
471500,0,0,0,1,0,0,0,1,0,0,0,0,2200,7,3,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
409218.4375,1,0,0,0,0,0,0,1,0,0,0,0,2000,8,2,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
298377.5,1,0,0,0,0,0,0,1,0,0,0,0,1134,6,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369000,0,0,0,1,0,0,0,1,0,0,0,0,2060,9,2,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
882525,1,0,0,0,0,0,0,0,1,0,0,0,5657,11,3,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
375296.3828,1,0,0,0,0,0,0,1,0,0,0,0,1325,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
275263.75,1,0,0,0,0,0,1,0,0,0,0,0,2511,9,2,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517625,1,0,0,0,0,0,0,1,0,0,0,0,3559,9,2,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320312.5,0,1,0,0,0,0,0,1,0,0,0,0,2466,7,2,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420250,0,0,0,1,0,0,0,1,0,0,0,0,2470,7,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123627.0437,0,1,0,0,0,0,0,1,0,0,0,0,675,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
